Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Job Title,2018-06,Producer,Median Base Pay,51702,-0.022
National,Job Title,2018-06,Quality Engineer,Median Base Pay,72798,0.013
National,Job Title,2018-06,Operations Analyst,Median Base Pay,54226,0.032
National,Job Title,2018-06,Medical Assistant,Median Base Pay,35017,0.045
National,Job Title,2018-06,Tax Manager,Median Base Pay,97213,0.051
National,Job Title,2018-06,Technical Editor,Median Base Pay,54556,0.016
National,Job Title,2018-06,Truck Driver,Median Base Pay,54659,0.073
National,Job Title,2018-06,Insurance Agent,Median Base Pay,42112,0.015
National,Job Title,2018-06,Medical Technologist,Median Base Pay,54224,0.023
National,Job Title,2018-06,Field Engineer,Median Base Pay,70723,0.021
National,Job Title,2018-06,Machine Operator,Median Base Pay,38464,0.017
National,Job Title,2018-06,Communications Manager,Median Base Pay,66321,-0.007
National,Job Title,2018-06,Construction Laborer,Median Base Pay,39857,0.029
National,Job Title,2018-06,Emergency Medical Technician,Median Base Pay,34665,0.025
National,Job Title,2018-06,Web Designer,Median Base Pay,50738,-0.008
National,Job Title,2018-06,Maintenance Worker,Median Base Pay,42846,0.014
National,Job Title,2018-06,Barista,Median Base Pay,24358,0.035
National,Job Title,2018-06,Bartender,Median Base Pay,33499,0.046
National,Job Title,2018-06,Civil Engineer,Median Base Pay,67899,0.009
National,Job Title,2018-06,Claims Adjuster,Median Base Pay,53669,0.036
National,Job Title,2018-06,Certified Nursing Assistant,Median Base Pay,29030,0.036
National,Job Title,2018-06,Customer Service Representative,Median Base Pay,37029,0.023
National,Job Title,2018-06,Delivery Driver,Median Base Pay,38594,0.02
National,Job Title,2018-06,Financial Advisor,Median Base Pay,54577,0.046
National,Job Title,2018-06,Licensed Practical Nurse,Median Base Pay,42416,0.024
National,Job Title,2018-06,Loan Officer,Median Base Pay,43988,-0.033
National,Job Title,2018-06,Maintenance Technician,Median Base Pay,45133,0.035
National,Job Title,2018-06,Material Handler,Median Base Pay,36179,0.051
National,Job Title,2018-06,Network Engineer,Median Base Pay,66257,-0.037
National,Job Title,2018-06,Office Manager,Median Base Pay,46300,0.016
National,Job Title,2018-06,Pharmacist,Median Base Pay,128311,0.03
National,Job Title,2018-06,Process Engineer,Median Base Pay,77839,0.003
National,Job Title,2018-06,Program Manager,Median Base Pay,75711,0.008
National,Job Title,2018-06,Research Assistant,Median Base Pay,30580,0
National,Job Title,2018-06,Restaurant Manager,Median Base Pay,49964,0.016
National,Job Title,2018-06,Security Officer,Median Base Pay,35554,0.047
National,Job Title,2018-06,Server,Median Base Pay,33747,0.026
National,Job Title,2018-06,Solutions Architect,Median Base Pay,105070,0.041
National,Job Title,2018-06,Systems Engineer,Median Base Pay,79432,0.019
