Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Job Title,2017-09,Operations Manager,Median Base Pay,66488,0.027
National,Job Title,2017-09,Product Manager,Median Base Pay,91035,0.012
National,Job Title,2017-09,Sales Manager,Median Base Pay,62611,0.018
National,Job Title,2017-09,Teacher,Median Base Pay,45923,0.018
National,Job Title,2017-09,Bank Teller,Median Base Pay,28633,0.043
National,Job Title,2017-09,Customer Service Manager,Median Base Pay,52154,0.017
National,Job Title,2017-09,Physical Therapist,Median Base Pay,74903,0.007
National,Job Title,2017-09,Mechanical Engineer,Median Base Pay,73483,0.022
National,Job Title,2017-09,Recruiter,Median Base Pay,50491,0.048
National,Job Title,2017-09,Design Engineer,Median Base Pay,71549,0.011
National,Job Title,2017-09,Pharmacy Technician,Median Base Pay,30688,0.034
National,Job Title,2017-09,Graphic Designer,Median Base Pay,44109,0.009
National,Job Title,2017-09,Web Developer,Median Base Pay,64150,-0.009
National,Job Title,2017-09,Business Development Manager,Median Base Pay,69503,0.036
National,Job Title,2017-09,Data Scientist,Median Base Pay,95624,0.006
National,Job Title,2017-09,Buyer,Median Base Pay,57351,0.013
National,Job Title,2017-09,Data Analyst,Median Base Pay,58245,0.018
National,Job Title,2017-09,Electrical Engineer,Median Base Pay,76559,0.01
National,Job Title,2017-09,Attorney,Median Base Pay,93920,-0.019
National,Job Title,2017-09,Human Resources Manager,Median Base Pay,68100,0.011
National,Job Title,2017-09,Technician,Median Base Pay,45179,0.006
National,Job Title,2017-09,Restaurant Cook,Median Base Pay,28456,0.043
National,Job Title,2017-09,Production Manager,Median Base Pay,66260,0.025
National,Job Title,2017-09,Manufacturing Engineer,Median Base Pay,72098,0.018
National,Job Title,2017-09,Retail Key Holder,Median Base Pay,28796,0.018
National,Job Title,2017-09,Paralegal,Median Base Pay,48341,0.015
National,Job Title,2017-09,Java Developer,Median Base Pay,75124,-0.001
National,Job Title,2017-09,Warehouse Associate,Median Base Pay,41515,0.018
National,Job Title,2017-09,Property Manager,Median Base Pay,51285,0.013
National,Job Title,2017-09,Producer,Median Base Pay,51384,0.006
National,Job Title,2017-09,Quality Engineer,Median Base Pay,72028,0.007
National,Job Title,2017-09,Operations Analyst,Median Base Pay,54014,0.018
National,Job Title,2017-09,Medical Assistant,Median Base Pay,33528,0.007
National,Job Title,2017-09,Tax Manager,Median Base Pay,94180,0.017
National,Job Title,2017-09,Technical Editor,Median Base Pay,52482,0.018
National,Job Title,2017-09,Truck Driver,Median Base Pay,52280,0.05
National,Job Title,2017-09,Insurance Agent,Median Base Pay,41532,0.018
National,Job Title,2017-09,Medical Technologist,Median Base Pay,53617,0.018
National,Job Title,2017-09,Field Engineer,Median Base Pay,70519,0.028
National,Job Title,2017-09,Machine Operator,Median Base Pay,39876,0.021
National,Job Title,2017-09,Communications Manager,Median Base Pay,67799,0.018
National,Job Title,2017-09,Construction Laborer,Median Base Pay,39808,0.033
National,Job Title,2017-09,Emergency Medical Technician,Median Base Pay,34339,0.018
National,Job Title,2017-09,Web Designer,Median Base Pay,51767,0.034
National,Job Title,2017-09,Maintenance Worker,Median Base Pay,41026,0.018
National,Job Title,2017-09,Barista,Median Base Pay,24305,0.056
National,Job Title,2017-09,Bartender,Median Base Pay,32688,0.003
National,Job Title,2017-09,Civil Engineer,Median Base Pay,67094,0.02
National,Job Title,2017-09,Claims Adjuster,Median Base Pay,51403,0.024
National,Job Title,2017-09,Certified Nursing Assistant,Median Base Pay,28678,0.02
National,Job Title,2017-09,Customer Service Representative,Median Base Pay,36266,0.025
National,Job Title,2017-09,Delivery Driver,Median Base Pay,37544,0.033
National,Job Title,2017-09,Financial Advisor,Median Base Pay,52660,0.022
National,Job Title,2017-09,Licensed Practical Nurse,Median Base Pay,41821,0.019
National,Job Title,2017-09,Loan Officer,Median Base Pay,44693,0.004
National,Job Title,2017-09,Maintenance Technician,Median Base Pay,44463,0.008
National,Job Title,2017-09,Material Handler,Median Base Pay,35917,0.024
National,Job Title,2017-09,Network Engineer,Median Base Pay,70786,0.018
National,Job Title,2017-09,Office Manager,Median Base Pay,46416,0.017
National,Job Title,2017-09,Pharmacist,Median Base Pay,127506,0.004
National,Job Title,2017-09,Process Engineer,Median Base Pay,76545,0.003
National,Job Title,2017-09,Program Manager,Median Base Pay,76489,0.02
National,Job Title,2017-09,Research Assistant,Median Base Pay,30493,0.013
National,Job Title,2017-09,Restaurant Manager,Median Base Pay,50116,0.025
National,Job Title,2017-09,Security Officer,Median Base Pay,34791,0.027
National,Job Title,2017-09,Server,Median Base Pay,33223,0.024
National,Job Title,2017-09,Solutions Architect,Median Base Pay,102184,0.037
National,Job Title,2017-09,Systems Engineer,Median Base Pay,78514,0.018
National,Job Title,2017-09,Technical Support,Median Base Pay,44880,0.012
National,Job Title,2017-09,UX Designer,Median Base Pay,77994,0.012
Atlanta,Job Title,2017-09,Software Engineer,Median Base Pay,83815,0.024
Atlanta,Job Title,2017-09,Programmer Analyst,Median Base Pay,69866,-0.001
Atlanta,Job Title,2017-09,Consultant,Median Base Pay,84773,-0.002
Atlanta,Job Title,2017-09,Project Manager,Median Base Pay,77837,0
Atlanta,Job Title,2017-09,Store Manager,Median Base Pay,51041,0.033
Atlanta,Job Title,2017-09,Business Analyst,Median Base Pay,71334,0.015
Atlanta,Job Title,2017-09,Cashier,Median Base Pay,26041,0.029
Atlanta,Job Title,2017-09,Financial Analyst,Median Base Pay,64238,0.015
Atlanta,Job Title,2017-09,Administrative Assistant,Median Base Pay,40266,0.015
Atlanta,Job Title,2017-09,Accountant,Median Base Pay,56332,0.016
Atlanta,Job Title,2017-09,Sales Representative,Median Base Pay,49216,0.014
Atlanta,Job Title,2017-09,Professor,Median Base Pay,88009,0.024
Atlanta,Job Title,2017-09,Registered Nurse,Median Base Pay,64864,0.018
Atlanta,Job Title,2017-09,Marketing Manager,Median Base Pay,76093,0
Atlanta,Job Title,2017-09,Operations Manager,Median Base Pay,70053,0.025
Atlanta,Job Title,2017-09,Product Manager,Median Base Pay,96806,0.01
Atlanta,Job Title,2017-09,Sales Manager,Median Base Pay,67314,0.015
Atlanta,Job Title,2017-09,Teacher,Median Base Pay,47850,0.016
Atlanta,Job Title,2017-09,Bank Teller,Median Base Pay,29684,0.041
Atlanta,Job Title,2017-09,Customer Service Manager,Median Base Pay,53707,0.015
Atlanta,Job Title,2017-09,Physical Therapist,Median Base Pay,75868,0.005
Atlanta,Job Title,2017-09,Mechanical Engineer,Median Base Pay,73063,0.02
Atlanta,Job Title,2017-09,Recruiter,Median Base Pay,51677,0.046
Atlanta,Job Title,2017-09,Design Engineer,Median Base Pay,73135,0.009
Atlanta,Job Title,2017-09,Pharmacy Technician,Median Base Pay,29131,0.032
Atlanta,Job Title,2017-09,Graphic Designer,Median Base Pay,49996,0.007
Atlanta,Job Title,2017-09,Web Developer,Median Base Pay,75693,-0.011
Atlanta,Job Title,2017-09,Business Development Manager,Median Base Pay,74976,0.033
Atlanta,Job Title,2017-09,Data Scientist,Median Base Pay,94397,0.004
Atlanta,Job Title,2017-09,Buyer,Median Base Pay,58197,0.011
Atlanta,Job Title,2017-09,Data Analyst,Median Base Pay,64448,0.015
Atlanta,Job Title,2017-09,Electrical Engineer,Median Base Pay,75904,0.007
Atlanta,Job Title,2017-09,Attorney,Median Base Pay,100832,-0.021
Atlanta,Job Title,2017-09,Human Resources Manager,Median Base Pay,75149,0.009
Atlanta,Job Title,2017-09,Technician,Median Base Pay,44825,0.004
Atlanta,Job Title,2017-09,Restaurant Cook,Median Base Pay,26606,0.041
Atlanta,Job Title,2017-09,Production Manager,Median Base Pay,66808,0.022
Atlanta,Job Title,2017-09,Manufacturing Engineer,Median Base Pay,72987,0.015
Atlanta,Job Title,2017-09,Retail Key Holder,Median Base Pay,29236,0.015
Atlanta,Job Title,2017-09,Paralegal,Median Base Pay,53234,0.013
Atlanta,Job Title,2017-09,Java Developer,Median Base Pay,78300,-0.003
Atlanta,Job Title,2017-09,Warehouse Associate,Median Base Pay,40102,0.015
Atlanta,Job Title,2017-09,Property Manager,Median Base Pay,55771,0.011
Atlanta,Job Title,2017-09,Producer,Median Base Pay,61552,0.004
Atlanta,Job Title,2017-09,Quality Engineer,Median Base Pay,70890,0.005
Atlanta,Job Title,2017-09,Operations Analyst,Median Base Pay,56443,0.015
Atlanta,Job Title,2017-09,Medical Assistant,Median Base Pay,34496,0.005
Atlanta,Job Title,2017-09,Tax Manager,Median Base Pay,99021,0.015
Atlanta,Job Title,2017-09,Technical Editor,Median Base Pay,54046,0.016
Atlanta,Job Title,2017-09,Truck Driver,Median Base Pay,49942,0.047
Atlanta,Job Title,2017-09,Insurance Agent,Median Base Pay,38732,0.015
Atlanta,Job Title,2017-09,Medical Technologist,Median Base Pay,56317,0.015
Atlanta,Job Title,2017-09,Field Engineer,Median Base Pay,66877,0.025
Atlanta,Job Title,2017-09,Machine Operator,Median Base Pay,37983,0.019
Atlanta,Job Title,2017-09,Communications Manager,Median Base Pay,74282,0.015
Atlanta,Job Title,2017-09,Construction Laborer,Median Base Pay,34743,0.031
Atlanta,Job Title,2017-09,Emergency Medical Technician,Median Base Pay,36160,0.015
Atlanta,Job Title,2017-09,Web Designer,Median Base Pay,58877,0.032
Atlanta,Job Title,2017-09,Maintenance Worker,Median Base Pay,38317,0.015
Atlanta,Job Title,2017-09,Barista,Median Base Pay,22501,0.054
Atlanta,Job Title,2017-09,Bartender,Median Base Pay,34304,0.001
Atlanta,Job Title,2017-09,Civil Engineer,Median Base Pay,67067,0.018
Atlanta,Job Title,2017-09,Claims Adjuster,Median Base Pay,49498,0.021
Atlanta,Job Title,2017-09,Certified Nursing Assistant,Median Base Pay,26270,0.017
Atlanta,Job Title,2017-09,Customer Service Representative,Median Base Pay,37059,0.023
Atlanta,Job Title,2017-09,Delivery Driver,Median Base Pay,35964,0.031
Atlanta,Job Title,2017-09,Financial Advisor,Median Base Pay,48855,0.02
Atlanta,Job Title,2017-09,Licensed Practical Nurse,Median Base Pay,43248,0.017
Atlanta,Job Title,2017-09,Loan Officer,Median Base Pay,42734,0.002
Atlanta,Job Title,2017-09,Maintenance Technician,Median Base Pay,45669,0.006
Atlanta,Job Title,2017-09,Material Handler,Median Base Pay,35552,0.022
Atlanta,Job Title,2017-09,Network Engineer,Median Base Pay,75565,0.015
Atlanta,Job Title,2017-09,Office Manager,Median Base Pay,47950,0.014
Atlanta,Job Title,2017-09,Pharmacist,Median Base Pay,118560,0.002
Atlanta,Job Title,2017-09,Process Engineer,Median Base Pay,76862,0.001
Atlanta,Job Title,2017-09,Program Manager,Median Base Pay,84240,0.018
Atlanta,Job Title,2017-09,Research Assistant,Median Base Pay,30923,0.01
Atlanta,Job Title,2017-09,Restaurant Manager,Median Base Pay,52501,0.023
Atlanta,Job Title,2017-09,Security Officer,Median Base Pay,32697,0.025
Atlanta,Job Title,2017-09,Server,Median Base Pay,32178,0.021
Atlanta,Job Title,2017-09,Solutions Architect,Median Base Pay,112424,0.035
Atlanta,Job Title,2017-09,Systems Engineer,Median Base Pay,77759,0.015
Atlanta,Job Title,2017-09,Technical Support,Median Base Pay,43642,0.01
Atlanta,Job Title,2017-09,UX Designer,Median Base Pay,83609,0.01
New York City,Job Title,2017-09,Software Engineer,Median Base Pay,104252,0.029
New York City,Job Title,2017-09,Programmer Analyst,Median Base Pay,77603,0.003
New York City,Job Title,2017-09,Consultant,Median Base Pay,91825,0.003
New York City,Job Title,2017-09,Project Manager,Median Base Pay,85987,0.004
New York City,Job Title,2017-09,Store Manager,Median Base Pay,59341,0.037
New York City,Job Title,2017-09,Business Analyst,Median Base Pay,80457,0.02
New York City,Job Title,2017-09,Cashier,Median Base Pay,28798,0.034
New York City,Job Title,2017-09,Financial Analyst,Median Base Pay,76033,0.019
New York City,Job Title,2017-09,Administrative Assistant,Median Base Pay,48158,0.02
New York City,Job Title,2017-09,Accountant,Median Base Pay,63008,0.02
New York City,Job Title,2017-09,Sales Representative,Median Base Pay,55681,0.018
New York City,Job Title,2017-09,Professor,Median Base Pay,111439,0.029
New York City,Job Title,2017-09,Registered Nurse,Median Base Pay,85280,0.022
New York City,Job Title,2017-09,Marketing Manager,Median Base Pay,84043,0.005
New York City,Job Title,2017-09,Operations Manager,Median Base Pay,77342,0.029
New York City,Job Title,2017-09,Product Manager,Median Base Pay,107178,0.015
New York City,Job Title,2017-09,Sales Manager,Median Base Pay,77820,0.02
New York City,Job Title,2017-09,Teacher,Median Base Pay,63227,0.02
New York City,Job Title,2017-09,Bank Teller,Median Base Pay,31928,0.045
New York City,Job Title,2017-09,Customer Service Manager,Median Base Pay,59835,0.02
New York City,Job Title,2017-09,Physical Therapist,Median Base Pay,80691,0.009
New York City,Job Title,2017-09,Mechanical Engineer,Median Base Pay,74645,0.024
New York City,Job Title,2017-09,Recruiter,Median Base Pay,60592,0.051
New York City,Job Title,2017-09,Design Engineer,Median Base Pay,79316,0.013
New York City,Job Title,2017-09,Pharmacy Technician,Median Base Pay,30392,0.037
New York City,Job Title,2017-09,Graphic Designer,Median Base Pay,57766,0.011
New York City,Job Title,2017-09,Web Developer,Median Base Pay,84478,-0.006
New York City,Job Title,2017-09,Business Development Manager,Median Base Pay,82092,0.038
New York City,Job Title,2017-09,Data Scientist,Median Base Pay,114380,0.009
New York City,Job Title,2017-09,Buyer,Median Base Pay,72383,0.015
New York City,Job Title,2017-09,Data Analyst,Median Base Pay,70628,0.02
New York City,Job Title,2017-09,Electrical Engineer,Median Base Pay,78635,0.012
New York City,Job Title,2017-09,Attorney,Median Base Pay,122200,-0.017
New York City,Job Title,2017-09,Human Resources Manager,Median Base Pay,85728,0.013
New York City,Job Title,2017-09,Technician,Median Base Pay,51262,0.008
New York City,Job Title,2017-09,Restaurant Cook,Median Base Pay,31454,0.046
New York City,Job Title,2017-09,Production Manager,Median Base Pay,76234,0.027
New York City,Job Title,2017-09,Manufacturing Engineer,Median Base Pay,74884,0.02
New York City,Job Title,2017-09,Retail Key Holder,Median Base Pay,33320,0.02
New York City,Job Title,2017-09,Paralegal,Median Base Pay,56790,0.017
New York City,Job Title,2017-09,Java Developer,Median Base Pay,85165,0.001
New York City,Job Title,2017-09,Warehouse Associate,Median Base Pay,39142,0.02
New York City,Job Title,2017-09,Property Manager,Median Base Pay,68310,0.016
New York City,Job Title,2017-09,Producer,Median Base Pay,77145,0.008
New York City,Job Title,2017-09,Quality Engineer,Median Base Pay,77363,0.009
New York City,Job Title,2017-09,Operations Analyst,Median Base Pay,70921,0.02
New York City,Job Title,2017-09,Medical Assistant,Median Base Pay,38305,0.009
New York City,Job Title,2017-09,Tax Manager,Median Base Pay,119293,0.02
New York City,Job Title,2017-09,Technical Editor,Median Base Pay,61991,0.02
New York City,Job Title,2017-09,Truck Driver,Median Base Pay,54781,0.052
New York City,Job Title,2017-09,Insurance Agent,Median Base Pay,42213,0.02
New York City,Job Title,2017-09,Medical Technologist,Median Base Pay,60929,0.02
New York City,Job Title,2017-09,Field Engineer,Median Base Pay,76026,0.03
New York City,Job Title,2017-09,Machine Operator,Median Base Pay,40049,0.023
New York City,Job Title,2017-09,Communications Manager,Median Base Pay,83757,0.02
New York City,Job Title,2017-09,Construction Laborer,Median Base Pay,46481,0.035
New York City,Job Title,2017-09,Emergency Medical Technician,Median Base Pay,38027,0.02
New York City,Job Title,2017-09,Web Designer,Median Base Pay,65949,0.036
New York City,Job Title,2017-09,Maintenance Worker,Median Base Pay,40137,0.02
New York City,Job Title,2017-09,Barista,Median Base Pay,26996,0.059
New York City,Job Title,2017-09,Bartender,Median Base Pay,35751,0.005
New York City,Job Title,2017-09,Civil Engineer,Median Base Pay,77165,0.022
New York City,Job Title,2017-09,Claims Adjuster,Median Base Pay,57498,0.026
New York City,Job Title,2017-09,Certified Nursing Assistant,Median Base Pay,36331,0.022
New York City,Job Title,2017-09,Customer Service Representative,Median Base Pay,42216,0.027
New York City,Job Title,2017-09,Delivery Driver,Median Base Pay,39232,0.035
New York City,Job Title,2017-09,Financial Advisor,Median Base Pay,57169,0.025
New York City,Job Title,2017-09,Licensed Practical Nurse,Median Base Pay,52921,0.021
New York City,Job Title,2017-09,Loan Officer,Median Base Pay,48423,0.006
New York City,Job Title,2017-09,Maintenance Technician,Median Base Pay,47755,0.01
New York City,Job Title,2017-09,Material Handler,Median Base Pay,39757,0.026
New York City,Job Title,2017-09,Network Engineer,Median Base Pay,83612,0.02
New York City,Job Title,2017-09,Office Manager,Median Base Pay,57373,0.019
New York City,Job Title,2017-09,Pharmacist,Median Base Pay,123262,0.006
New York City,Job Title,2017-09,Process Engineer,Median Base Pay,81636,0.005
New York City,Job Title,2017-09,Program Manager,Median Base Pay,91471,0.022
New York City,Job Title,2017-09,Research Assistant,Median Base Pay,36577,0.015
New York City,Job Title,2017-09,Restaurant Manager,Median Base Pay,61260,0.027
New York City,Job Title,2017-09,Security Officer,Median Base Pay,38680,0.029
New York City,Job Title,2017-09,Server,Median Base Pay,35616,0.026
New York City,Job Title,2017-09,Solutions Architect,Median Base Pay,116374,0.039
New York City,Job Title,2017-09,Systems Engineer,Median Base Pay,86469,0.02
New York City,Job Title,2017-09,Technical Support,Median Base Pay,55956,0.014
New York City,Job Title,2017-09,UX Designer,Median Base Pay,95138,0.015
Los Angeles,Job Title,2017-09,Software Engineer,Median Base Pay,98553,0.03
Los Angeles,Job Title,2017-09,Programmer Analyst,Median Base Pay,75850,0.004
Los Angeles,Job Title,2017-09,Consultant,Median Base Pay,91148,0.004
Los Angeles,Job Title,2017-09,Project Manager,Median Base Pay,84473,0.005
Los Angeles,Job Title,2017-09,Store Manager,Median Base Pay,61564,0.039
Los Angeles,Job Title,2017-09,Business Analyst,Median Base Pay,74516,0.021
Los Angeles,Job Title,2017-09,Cashier,Median Base Pay,30386,0.035
Los Angeles,Job Title,2017-09,Financial Analyst,Median Base Pay,70470,0.02
Los Angeles,Job Title,2017-09,Administrative Assistant,Median Base Pay,46763,0.021
Los Angeles,Job Title,2017-09,Accountant,Median Base Pay,60887,0.021
Los Angeles,Job Title,2017-09,Sales Representative,Median Base Pay,54076,0.019
Los Angeles,Job Title,2017-09,Professor,Median Base Pay,110732,0.03
Los Angeles,Job Title,2017-09,Registered Nurse,Median Base Pay,89264,0.024
Los Angeles,Job Title,2017-09,Marketing Manager,Median Base Pay,84349,0.006
Los Angeles,Job Title,2017-09,Operations Manager,Median Base Pay,76058,0.031
Los Angeles,Job Title,2017-09,Product Manager,Median Base Pay,103848,0.016
Los Angeles,Job Title,2017-09,Sales Manager,Median Base Pay,75598,0.021
Los Angeles,Job Title,2017-09,Teacher,Median Base Pay,60409,0.021
Los Angeles,Job Title,2017-09,Bank Teller,Median Base Pay,30879,0.046
Los Angeles,Job Title,2017-09,Customer Service Manager,Median Base Pay,60456,0.021
Los Angeles,Job Title,2017-09,Physical Therapist,Median Base Pay,93219,0.01
Los Angeles,Job Title,2017-09,Mechanical Engineer,Median Base Pay,81796,0.025
Los Angeles,Job Title,2017-09,Recruiter,Median Base Pay,59649,0.052
Los Angeles,Job Title,2017-09,Design Engineer,Median Base Pay,85763,0.014
Los Angeles,Job Title,2017-09,Pharmacy Technician,Median Base Pay,36995,0.038
Los Angeles,Job Title,2017-09,Graphic Designer,Median Base Pay,56593,0.012
Los Angeles,Job Title,2017-09,Web Developer,Median Base Pay,79480,-0.005
Los Angeles,Job Title,2017-09,Business Development Manager,Median Base Pay,80102,0.039
Los Angeles,Job Title,2017-09,Data Scientist,Median Base Pay,116518,0.01
Los Angeles,Job Title,2017-09,Buyer,Median Base Pay,63485,0.016
Los Angeles,Job Title,2017-09,Data Analyst,Median Base Pay,71233,0.021
Los Angeles,Job Title,2017-09,Electrical Engineer,Median Base Pay,86327,0.013
Los Angeles,Job Title,2017-09,Attorney,Median Base Pay,123505,-0.016
Los Angeles,Job Title,2017-09,Human Resources Manager,Median Base Pay,84700,0.014
Los Angeles,Job Title,2017-09,Technician,Median Base Pay,51746,0.01
Los Angeles,Job Title,2017-09,Restaurant Cook,Median Base Pay,32080,0.047
Los Angeles,Job Title,2017-09,Production Manager,Median Base Pay,77860,0.028
Los Angeles,Job Title,2017-09,Manufacturing Engineer,Median Base Pay,80946,0.021
Los Angeles,Job Title,2017-09,Retail Key Holder,Median Base Pay,33040,0.021
Los Angeles,Job Title,2017-09,Paralegal,Median Base Pay,60512,0.018
Los Angeles,Job Title,2017-09,Java Developer,Median Base Pay,88373,0.002
Los Angeles,Job Title,2017-09,Warehouse Associate,Median Base Pay,47918,0.021
Los Angeles,Job Title,2017-09,Property Manager,Median Base Pay,63417,0.017
Los Angeles,Job Title,2017-09,Producer,Median Base Pay,76566,0.009
Los Angeles,Job Title,2017-09,Quality Engineer,Median Base Pay,82628,0.01
Los Angeles,Job Title,2017-09,Operations Analyst,Median Base Pay,60703,0.021
Los Angeles,Job Title,2017-09,Medical Assistant,Median Base Pay,37338,0.01
Los Angeles,Job Title,2017-09,Tax Manager,Median Base Pay,111211,0.021
Los Angeles,Job Title,2017-09,Technical Editor,Median Base Pay,60903,0.021
Los Angeles,Job Title,2017-09,Truck Driver,Median Base Pay,56245,0.053
Los Angeles,Job Title,2017-09,Insurance Agent,Median Base Pay,47292,0.021
Los Angeles,Job Title,2017-09,Medical Technologist,Median Base Pay,62220,0.021
Los Angeles,Job Title,2017-09,Field Engineer,Median Base Pay,76666,0.031
Los Angeles,Job Title,2017-09,Machine Operator,Median Base Pay,37722,0.025
Los Angeles,Job Title,2017-09,Communications Manager,Median Base Pay,83128,0.021
Los Angeles,Job Title,2017-09,Construction Laborer,Median Base Pay,41131,0.036
Los Angeles,Job Title,2017-09,Emergency Medical Technician,Median Base Pay,34319,0.021
Los Angeles,Job Title,2017-09,Web Designer,Median Base Pay,62952,0.038
Los Angeles,Job Title,2017-09,Maintenance Worker,Median Base Pay,41708,0.021
Los Angeles,Job Title,2017-09,Barista,Median Base Pay,26655,0.06
Los Angeles,Job Title,2017-09,Bartender,Median Base Pay,33555,0.006
Los Angeles,Job Title,2017-09,Civil Engineer,Median Base Pay,79745,0.024
Los Angeles,Job Title,2017-09,Claims Adjuster,Median Base Pay,57897,0.027
Los Angeles,Job Title,2017-09,Certified Nursing Assistant,Median Base Pay,33900,0.023
Los Angeles,Job Title,2017-09,Customer Service Representative,Median Base Pay,42430,0.029
Los Angeles,Job Title,2017-09,Delivery Driver,Median Base Pay,40366,0.037
Los Angeles,Job Title,2017-09,Financial Advisor,Median Base Pay,56769,0.026
Los Angeles,Job Title,2017-09,Licensed Practical Nurse,Median Base Pay,49935,0.022
Los Angeles,Job Title,2017-09,Loan Officer,Median Base Pay,48394,0.007
Los Angeles,Job Title,2017-09,Maintenance Technician,Median Base Pay,46079,0.011
Los Angeles,Job Title,2017-09,Material Handler,Median Base Pay,38625,0.027
Los Angeles,Job Title,2017-09,Network Engineer,Median Base Pay,85148,0.021
Los Angeles,Job Title,2017-09,Office Manager,Median Base Pay,57523,0.02
Los Angeles,Job Title,2017-09,Pharmacist,Median Base Pay,134663,0.007
Los Angeles,Job Title,2017-09,Process Engineer,Median Base Pay,83909,0.006
Los Angeles,Job Title,2017-09,Program Manager,Median Base Pay,92182,0.023
Los Angeles,Job Title,2017-09,Research Assistant,Median Base Pay,34496,0.016
Los Angeles,Job Title,2017-09,Restaurant Manager,Median Base Pay,60094,0.029
Los Angeles,Job Title,2017-09,Security Officer,Median Base Pay,37891,0.03
Los Angeles,Job Title,2017-09,Server,Median Base Pay,33212,0.027
Los Angeles,Job Title,2017-09,Solutions Architect,Median Base Pay,114596,0.04
Los Angeles,Job Title,2017-09,Systems Engineer,Median Base Pay,89832,0.021
Los Angeles,Job Title,2017-09,Technical Support,Median Base Pay,53997,0.016
Los Angeles,Job Title,2017-09,UX Designer,Median Base Pay,91432,0.016
Philadelphia,Job Title,2017-09,Software Engineer,Median Base Pay,85379,0.02
Philadelphia,Job Title,2017-09,Programmer Analyst,Median Base Pay,69113,-0.006
Philadelphia,Job Title,2017-09,Consultant,Median Base Pay,81934,-0.006
Philadelphia,Job Title,2017-09,Project Manager,Median Base Pay,77244,-0.005
Philadelphia,Job Title,2017-09,Store Manager,Median Base Pay,53885,0.029
Philadelphia,Job Title,2017-09,Business Analyst,Median Base Pay,69196,0.011
Philadelphia,Job Title,2017-09,Cashier,Median Base Pay,26842,0.025
Philadelphia,Job Title,2017-09,Financial Analyst,Median Base Pay,63106,0.01
Philadelphia,Job Title,2017-09,Administrative Assistant,Median Base Pay,41272,0.011
Philadelphia,Job Title,2017-09,Accountant,Median Base Pay,57974,0.011
Philadelphia,Job Title,2017-09,Sales Representative,Median Base Pay,50170,0.009
Philadelphia,Job Title,2017-09,Professor,Median Base Pay,96890,0.02
Philadelphia,Job Title,2017-09,Registered Nurse,Median Base Pay,72828,0.014
Philadelphia,Job Title,2017-09,Marketing Manager,Median Base Pay,78196,-0.004
Philadelphia,Job Title,2017-09,Operations Manager,Median Base Pay,71561,0.021
Philadelphia,Job Title,2017-09,Product Manager,Median Base Pay,93266,0.006
Philadelphia,Job Title,2017-09,Sales Manager,Median Base Pay,68037,0.011
Philadelphia,Job Title,2017-09,Teacher,Median Base Pay,50804,0.011
Philadelphia,Job Title,2017-09,Bank Teller,Median Base Pay,29484,0.036
Philadelphia,Job Title,2017-09,Customer Service Manager,Median Base Pay,55511,0.011
Philadelphia,Job Title,2017-09,Physical Therapist,Median Base Pay,80792,0
Philadelphia,Job Title,2017-09,Mechanical Engineer,Median Base Pay,76155,0.015
Philadelphia,Job Title,2017-09,Recruiter,Median Base Pay,52218,0.042
Philadelphia,Job Title,2017-09,Design Engineer,Median Base Pay,75989,0.004
Philadelphia,Job Title,2017-09,Pharmacy Technician,Median Base Pay,28865,0.028
Philadelphia,Job Title,2017-09,Graphic Designer,Median Base Pay,48711,0.003
Philadelphia,Job Title,2017-09,Web Developer,Median Base Pay,69642,-0.015
Philadelphia,Job Title,2017-09,Business Development Manager,Median Base Pay,72512,0.029
Philadelphia,Job Title,2017-09,Data Scientist,Median Base Pay,97257,0
Philadelphia,Job Title,2017-09,Buyer,Median Base Pay,59290,0.007
Philadelphia,Job Title,2017-09,Data Analyst,Median Base Pay,62136,0.011
Philadelphia,Job Title,2017-09,Electrical Engineer,Median Base Pay,80700,0.003
Philadelphia,Job Title,2017-09,Attorney,Median Base Pay,103271,-0.025
Philadelphia,Job Title,2017-09,Human Resources Manager,Median Base Pay,75748,0.004
Philadelphia,Job Title,2017-09,Technician,Median Base Pay,48276,0
Philadelphia,Job Title,2017-09,Restaurant Cook,Median Base Pay,29699,0.037
Philadelphia,Job Title,2017-09,Production Manager,Median Base Pay,66034,0.018
Philadelphia,Job Title,2017-09,Manufacturing Engineer,Median Base Pay,74756,0.011
Philadelphia,Job Title,2017-09,Retail Key Holder,Median Base Pay,30155,0.011
Philadelphia,Job Title,2017-09,Paralegal,Median Base Pay,51274,0.009
Philadelphia,Job Title,2017-09,Java Developer,Median Base Pay,80600,-0.007
Philadelphia,Job Title,2017-09,Warehouse Associate,Median Base Pay,43903,0.011
Philadelphia,Job Title,2017-09,Property Manager,Median Base Pay,60475,0.007
Philadelphia,Job Title,2017-09,Producer,Median Base Pay,56649,0
Philadelphia,Job Title,2017-09,Quality Engineer,Median Base Pay,74869,0
Philadelphia,Job Title,2017-09,Operations Analyst,Median Base Pay,59765,0.011
Philadelphia,Job Title,2017-09,Medical Assistant,Median Base Pay,36003,0
Philadelphia,Job Title,2017-09,Tax Manager,Median Base Pay,101747,0.011
Philadelphia,Job Title,2017-09,Technical Editor,Median Base Pay,55501,0.011
Philadelphia,Job Title,2017-09,Truck Driver,Median Base Pay,55434,0.043
Philadelphia,Job Title,2017-09,Insurance Agent,Median Base Pay,43949,0.011
